sku,name,quantity,price,supplier,lastRestocked
SKU-00064,Mini Whatsit,238,28.19,Supply Chain Co,2024-01-09
SKU-00065,Mini Gizmo,255,29.49,Acme Corp,2024-01-10
SKU-00066,Mini Component,272,30.79,TechSupply Inc,2024-01-11
SKU-00067,Mini Part,289,32.09,Parts R Us,2024-01-12
SKU-00068,Mini Module,306,33.39,Global Widgets,2024-01-13
SKU-00069,Mini Assembly,323,34.69,Supply Chain Co,2024-01-14
SKU-00070,Mega Widget,340,5.99,Acme Corp,2024-01-15
SKU-00071,Mega Gadget,357,7.29,TechSupply Inc,2024-01-16
SKU-00072,Mega Doohickey,374,8.59,Parts R Us,2024-01-17
SKU-00073,Mega Thingamajig,391,9.89,Global Widgets,2024-01-18
SKU-00074,Mega Whatsit,408,11.19,Supply Chain Co,2024-01-19
SKU-00075,Mega Gizmo,425,12.49,Acme Corp,2024-01-20
SKU-00076,Mega Component,442,13.79,TechSupply Inc,2024-01-21
SKU-00077,Mega Part,459,15.09,Parts R Us,2024-01-22
SKU-00078,Mega Module,476,16.39,Global Widgets,2024-01-23
SKU-00079,Mega Assembly,493,17.69,Supply Chain Co,2024-01-24
SKU-00080,Super Widget,60,18.99,Acme Corp,2024-01-25
SKU-00081,Super Gadget,77,20.29,TechSupply Inc,2024-01-26
SKU-00082,Super Doohickey,94,21.59,Parts R Us,2024-01-27
SKU-00083,Super Thingamajig,111,22.89,Global Widgets,2024-01-28
SKU-00084,Super Whatsit,128,24.19,Supply Chain Co,2024-01-01
SKU-00085,Super Gizmo,145,25.49,Acme Corp,2024-01-02
SKU-00086,Super Component,162,26.79,TechSupply Inc,2024-01-03
SKU-00087,Super Part,179,28.09,Parts R Us,2024-01-04
SKU-00088,Super Module,196,29.39,Global Widgets,2024-01-05
SKU-00089,Super Assembly,213,30.69,Supply Chain Co,2024-01-06
SKU-00090,Compact Widget,230,31.99,Acme Corp,2024-01-07
SKU-00091,Compact Gadget,247,33.29,TechSupply Inc,2024-01-08
SKU-00092,Compact Doohickey,264,34.59,Parts R Us,2024-01-09
SKU-00093,Compact Thingamajig,281,5.89,Global Widgets,2024-01-10
SKU-00094,Compact Whatsit,298,7.19,Supply Chain Co,2024-01-11
SKU-00095,Compact Gizmo,315,8.49,Acme Corp,2024-01-12
SKU-00096,Compact Component,332,9.79,TechSupply Inc,2024-01-13
SKU-00097,Compact Part,349,11.09,Parts R Us,2024-01-14
SKU-00098,Compact Module,366,12.39,Global Widgets,2024-01-15
SKU-00099,Compact Assembly,383,13.69,Supply Chain Co,2024-01-16
SKU-00100,Premium Widget,400,14.99,Acme Corp,2024-01-17
SKU-00101,Premium Gadget,417,16.29,TechSupply Inc,2024-01-18
SKU-00102,Premium Doohickey,434,17.59,Parts R Us,2024-01-19
SKU-00103,Premium Thingamajig,451,18.89,Global Widgets,2024-01-20
SKU-00104,Premium Whatsit,468,20.19,Supply Chain Co,2024-01-21
SKU-00105,Premium Gizmo,485,21.49,Acme Corp,2024-01-22
SKU-00106,Premium Component,52,22.79,TechSupply Inc,2024-01-23
SKU-00107,Premium Part,69,24.09,Parts R Us,2024-01-24
SKU-00108,Premium Module,86,25.39,Global Widgets,2024-01-25
SKU-00109,Premium Assembly,103,26.69,Supply Chain Co,2024-01-26
SKU-00110,Standard Widget,120,27.99,Acme Corp,2024-01-27
SKU-00111,Standard Gadget,137,29.29,TechSupply Inc,2024-01-28
SKU-00112,Standard Doohickey,154,30.59,Parts R Us,2024-01-01
SKU-00113,Standard Thingamajig,171,31.89,Global Widgets,2024-01-02
SKU-00114,Standard Whatsit,188,33.19,Supply Chain Co,2024-01-03
SKU-00115,Standard Gizmo,205,34.49,Acme Corp,2024-01-04
SKU-00116,Standard Component,222,5.79,TechSupply Inc,2024-01-05
SKU-00117,Standard Part,239,7.09,Parts R Us,2024-01-06
SKU-00118,Standard Module,256,8.39,Global Widgets,2024-01-07
SKU-00119,Standard Assembly,273,9.69,Supply Chain Co,2024-01-08
SKU-00120,Deluxe Widget,290,10.99,Acme Corp,2024-01-09
SKU-00121,Deluxe Gadget,307,12.29,TechSupply Inc,2024-01-10
SKU-00122,Deluxe Doohickey,324,13.59,Parts R Us,2024-01-11
SKU-00123,Deluxe Thingamajig,341,14.89,Global Widgets,2024-01-12
SKU-00124,Deluxe Whatsit,358,16.19,Supply Chain Co,2024-01-13
SKU-00125,Deluxe Gizmo,375,17.49,Acme Corp,2024-01-14
SKU-00126,Deluxe Component,392,18.79,TechSupply Inc,2024-01-15
SKU-00127,Deluxe Part,409,20.09,Parts R Us,2024-01-16
SKU-00128,Deluxe Module,426,21.39,Global Widgets,2024-01-17
SKU-00129,Deluxe Assembly,443,22.69,Supply Chain Co,2024-01-18
SKU-00130,Basic Widget,460,23.99,Acme Corp,2024-01-19
SKU-00131,Basic Gadget,477,25.29,TechSupply Inc,2024-01-20
SKU-00132,Basic Doohickey,494,26.59,Parts R Us,2024-01-21
SKU-00133,Basic Thingamajig,61,27.89,Global Widgets,2024-01-22
SKU-00134,Basic Whatsit,78,29.19,Supply Chain Co,2024-01-23
SKU-00135,Basic Gizmo,95,30.49,Acme Corp,2024-01-24
SKU-00136,Basic Component,112,31.79,TechSupply Inc,2024-01-25
SKU-00137,Basic Part,129,33.09,Parts R Us,2024-01-26
SKU-00138,Basic Module,146,34.39,Global Widgets,2024-01-27
SKU-00139,Basic Assembly,163,5.69,Supply Chain Co,2024-01-28
SKU-00140,Pro Widget,180,6.99,Acme Corp,2024-01-01
SKU-00141,Pro Gadget,197,8.29,TechSupply Inc,2024-01-02
SKU-00142,Pro Doohickey,214,9.59,Parts R Us,2024-01-03
SKU-00143,Pro Thingamajig,231,10.89,Global Widgets,2024-01-04
SKU-00144,Pro Whatsit,248,12.19,Supply Chain Co,2024-01-05
SKU-00145,Pro Gizmo,265,13.49,Acme Corp,2024-01-06
SKU-00146,Pro Component,282,14.79,TechSupply Inc,2024-01-07
SKU-00147,Pro Part,299,16.09,Parts R Us,2024-01-08
SKU-00148,Pro Module,316,17.39,Global Widgets,2024-01-09
SKU-00149,Pro Assembly,333,18.69,Supply Chain Co,2024-01-10
SKU-00150,Ultra Widget,350,19.99,Acme Corp,2024-01-11
SKU-00151,Ultra Gadget,367,21.29,TechSupply Inc,2024-01-12
SKU-00152,Ultra Doohickey,384,22.59,Parts R Us,2024-01-13
SKU-00153,Ultra Thingamajig,401,23.89,Global Widgets,2024-01-14
SKU-00154,Ultra Whatsit,418,25.19,Supply Chain Co,2024-01-15
SKU-00155,Ultra Gizmo,435,26.49,Acme Corp,2024-01-16
SKU-00156,Ultra Component,452,27.79,TechSupply Inc,2024-01-17
SKU-00157,Ultra Part,469,29.09,Parts R Us,2024-01-18
SKU-00158,Ultra Module,486,30.39,Global Widgets,2024-01-19
SKU-00159,Ultra Assembly,53,31.69,Supply Chain Co,2024-01-20
SKU-00160,Mini Widget,70,32.99,Acme Corp,2024-01-21
SKU-00161,Mini Gadget,87,34.29,TechSupply Inc,2024-01-22
SKU-00162,Mini Doohickey,104,5.59,Parts R Us,2024-01-23
SKU-00163,Mini Thingamajig,121,6.89,Global Widgets,2024-01-24
SKU-00164,Mini Whatsit,138,8.19,Supply Chain Co,2024-01-25
SKU-00165,Mini Gizmo,155,9.49,Acme Corp,2024-01-26
SKU-00166,Mini Component,172,10.79,TechSupply Inc,2024-01-27
SKU-00167,Mini Part,189,12.09,Parts R Us,2024-01-28
SKU-00168,Mini Module,206,13.39,Global Widgets,2024-01-01
SKU-00169,Mini Assembly,223,14.69,Supply Chain Co,2024-01-02
SKU-00170,Mega Widget,240,15.99,Acme Corp,2024-01-03
SKU-00171,Mega Gadget,257,17.29,TechSupply Inc,2024-01-04
SKU-00172,Mega Doohickey,274,18.59,Parts R Us,2024-01-05
SKU-00173,Mega Thingamajig,291,19.89,Global Widgets,2024-01-06
SKU-00174,Mega Whatsit,308,21.19,Supply Chain Co,2024-01-07
SKU-00175,Mega Gizmo,325,22.49,Acme Corp,2024-01-08
SKU-00176,Mega Component,342,23.79,TechSupply Inc,2024-01-09
SKU-00177,Mega Part,359,25.09,Parts R Us,2024-01-10
SKU-00178,Mega Module,376,26.39,Global Widgets,2024-01-11
SKU-00179,Mega Assembly,393,27.69,Supply Chain Co,2024-01-12
SKU-00180,Super Widget,410,28.99,Acme Corp,2024-01-13
SKU-00181,Super Gadget,427,30.29,TechSupply Inc,2024-01-14
SKU-00182,Super Doohickey,444,31.59,Parts R Us,2024-01-15
SKU-00183,Super Thingamajig,461,32.89,Global Widgets,2024-01-16
SKU-00184,Super Whatsit,478,34.19,Supply Chain Co,2024-01-17
SKU-00185,Super Gizmo,495,5.49,Acme Corp,2024-01-18
SKU-00186,Super Component,62,6.79,TechSupply Inc,2024-01-19
SKU-00187,Super Part,79,8.09,Parts R Us,2024-01-20
SKU-00188,Super Module,96,9.39,Global Widgets,2024-01-21
SKU-00189,Super Assembly,113,10.69,Supply Chain Co,2024-01-22
SKU-00190,Compact Widget,130,11.99,Acme Corp,2024-01-23
SKU-00191,Compact Gadget,147,13.29,TechSupply Inc,2024-01-24
SKU-00192,Compact Doohickey,164,14.59,Parts R Us,2024-01-25
SKU-00193,Compact Thingamajig,181,15.89,Global Widgets,2024-01-26
SKU-00194,Compact Whatsit,198,17.19,Supply Chain Co,2024-01-27
SKU-00195,Compact Gizmo,215,18.49,Acme Corp,2024-01-28
SKU-00196,Compact Component,232,19.79,TechSupply Inc,2024-01-01
SKU-00197,Compact Part,249,21.09,Parts R Us,2024-01-02
SKU-00198,Compact Module,266,22.39,Global Widgets,2024-01-03
SKU-00199,Compact Assembly,283,23.69,Supply Chain Co,2024-01-04
SKU-00200,Premium Widget,300,24.99,Acme Corp,2024-01-05
SKU-00201,Premium Gadget,317,26.29,TechSupply Inc,2024-01-06
SKU-00202,Premium Doohickey,334,27.59,Parts R Us,2024-01-07
SKU-00203,Premium Thingamajig,351,28.89,Global Widgets,2024-01-08
SKU-00204,Premium Whatsit,368,30.19,Supply Chain Co,2024-01-09
SKU-00205,Premium Gizmo,385,31.49,Acme Corp,2024-01-10
SKU-00206,Premium Component,402,32.79,TechSupply Inc,2024-01-11
SKU-00207,Premium Part,419,34.09,Parts R Us,2024-01-12
SKU-00208,Premium Module,436,5.39,Global Widgets,2024-01-13
SKU-00209,Premium Assembly,453,6.69,Supply Chain Co,2024-01-14
SKU-00210,Standard Widget,470,7.99,Acme Corp,2024-01-15
SKU-00211,Standard Gadget,487,9.29,TechSupply Inc,2024-01-16
SKU-00212,Standard Doohickey,54,10.59,Parts R Us,2024-01-17
SKU-00213,Standard Thingamajig,71,11.89,Global Widgets,2024-01-18
SKU-00214,Standard Whatsit,88,13.19,Supply Chain Co,2024-01-19
SKU-00215,Standard Gizmo,105,14.49,Acme Corp,2024-01-20
SKU-00216,Standard Component,122,15.79,TechSupply Inc,2024-01-21
SKU-00217,Standard Part,139,17.09,Parts R Us,2024-01-22
SKU-00218,Standard Module,156,18.39,Global Widgets,2024-01-23
SKU-00219,Standard Assembly,173,19.69,Supply Chain Co,2024-01-24
SKU-00220,Deluxe Widget,190,20.99,Acme Corp,2024-01-25
SKU-00221,Deluxe Gadget,207,22.29,TechSupply Inc,2024-01-26
SKU-00222,Deluxe Doohickey,224,23.59,Parts R Us,2024-01-27
SKU-00223,Deluxe Thingamajig,241,24.89,Global Widgets,2024-01-28
SKU-00224,Deluxe Whatsit,258,26.19,Supply Chain Co,2024-01-01
SKU-00225,Deluxe Gizmo,275,27.49,Acme Corp,2024-01-02
SKU-00226,Deluxe Component,292,28.79,TechSupply Inc,2024-01-03
SKU-00227,Deluxe Part,309,30.09,Parts R Us,2024-01-04
SKU-00228,Deluxe Module,326,31.39,Global Widgets,2024-01-05
SKU-00229,Deluxe Assembly,343,32.69,Supply Chain Co,2024-01-06
SKU-00230,Basic Widget,360,33.99,Acme Corp,2024-01-07
SKU-00231,Basic Gadget,377,5.29,TechSupply Inc,2024-01-08
SKU-00232,Basic Doohickey,394,6.59,Parts R Us,2024-01-09
SKU-00233,Basic Thingamajig,411,7.89,Global Widgets,2024-01-10
SKU-00234,Basic Whatsit,428,9.19,Supply Chain Co,2024-01-11
SKU-00235,Basic Gizmo,445,10.49,Acme Corp,2024-01-12
SKU-00236,Basic Component,462,11.79,TechSupply Inc,2024-01-13
SKU-00237,Basic Part,479,13.09,Parts R Us,2024-01-14
SKU-00238,Basic Module,496,14.39,Global Widgets,2024-01-15
SKU-00239,Basic Assembly,63,15.69,Supply Chain Co,2024-01-16
SKU-00240,Pro Widget,80,16.99,Acme Corp,2024-01-17
SKU-00241,Pro Gadget,97,18.29,TechSupply Inc,2024-01-18
SKU-00242,Pro Doohickey,114,19.59,Parts R Us,2024-01-19
SKU-00243,Pro Thingamajig,131,20.89,Global Widgets,2024-01-20
SKU-00244,Pro Whatsit,148,22.19,Supply Chain Co,2024-01-21
SKU-00245,Pro Gizmo,165,23.49,Acme Corp,2024-01-22
SKU-00246,Pro Component,182,24.79,TechSupply Inc,2024-01-23
SKU-00247,Pro Part,199,26.09,Parts R Us,2024-01-24
SKU-00248,Pro Module,216,27.39,Global Widgets,2024-01-25
SKU-00249,Pro Assembly,233,28.69,Supply Chain Co,2024-01-26
SKU-00250,Ultra Widget,250,29.99,Acme Corp,2024-01-27
SKU-00251,Ultra Gadget,267,31.29,TechSupply Inc,2024-01-28
SKU-00252,Ultra Doohickey,284,32.59,Parts R Us,2024-01-01
SKU-00253,Ultra Thingamajig,301,33.89,Global Widgets,2024-01-02
SKU-00254,Ultra Whatsit,318,5.19,Supply Chain Co,2024-01-03
SKU-00255,Ultra Gizmo,335,6.49,Acme Corp,2024-01-04
SKU-00256,Ultra Component,352,7.79,TechSupply Inc,2024-01-05
SKU-00257,Ultra Part,369,9.09,Parts R Us,2024-01-06
SKU-00258,Ultra Module,386,10.39,Global Widgets,2024-01-07
SKU-00259,Ultra Assembly,403,11.69,Supply Chain Co,2024-01-08
SKU-00260,Mini Widget,420,12.99,Acme Corp,2024-01-09
SKU-00261,Mini Gadget,437,14.29,TechSupply Inc,2024-01-10
SKU-00262,Mini Doohickey,454,15.59,Parts R Us,2024-01-11
SKU-00263,Mini Thingamajig,471,16.89,Global Widgets,2024-01-12
SKU-00264,Mini Whatsit,488,18.19,Supply Chain Co,2024-01-13
SKU-00265,Mini Gizmo,55,19.49,Acme Corp,2024-01-14
SKU-00266,Mini Component,72,20.79,TechSupply Inc,2024-01-15
SKU-00267,Mini Part,89,22.09,Parts R Us,2024-01-16
SKU-00268,Mini Module,106,23.39,Global Widgets,2024-01-17
SKU-00269,Mini Assembly,123,24.69,Supply Chain Co,2024-01-18
SKU-00270,Mega Widget,140,25.99,Acme Corp,2024-01-19
SKU-00271,Mega Gadget,157,27.29,TechSupply Inc,2024-01-20
SKU-00272,Mega Doohickey,174,28.59,Parts R Us,2024-01-21
SKU-00273,Mega Thingamajig,191,29.89,Global Widgets,2024-01-22
SKU-00274,Mega Whatsit,208,31.19,Supply Chain Co,2024-01-23
SKU-00275,Mega Gizmo,225,32.49,Acme Corp,2024-01-24
SKU-00276,Mega Component,242,33.79,TechSupply Inc,2024-01-25
SKU-00277,Mega Part,259,5.09,Parts R Us,2024-01-26
SKU-00278,Mega Module,276,6.39,Global Widgets,2024-01-27
SKU-00279,Mega Assembly,293,7.69,Supply Chain Co,2024-01-28
SKU-00280,Super Widget,310,8.99,Acme Corp,2024-01-01
SKU-00281,Super Gadget,327,10.29,TechSupply Inc,2024-01-02
SKU-00282,Super Doohickey,344,11.59,Parts R Us,2024-01-03
SKU-00283,Super Thingamajig,361,12.89,Global Widgets,2024-01-04
SKU-00284,Super Whatsit,378,14.19,Supply Chain Co,2024-01-05
SKU-00285,Super Gizmo,395,15.49,Acme Corp,2024-01-06
SKU-00286,Super Component,412,16.79,TechSupply Inc,2024-01-07
SKU-00287,Super Part,429,18.09,Parts R Us,2024-01-08
SKU-00288,Super Module,446,19.39,Global Widgets,2024-01-09
SKU-00289,Super Assembly,463,20.69,Supply Chain Co,2024-01-10
SKU-00290,Compact Widget,480,21.99,Acme Corp,2024-01-11
SKU-00291,Compact Gadget,497,23.29,TechSupply Inc,2024-01-12
SKU-00292,Compact Doohickey,64,24.59,Parts R Us,2024-01-13
SKU-00293,Compact Thingamajig,81,25.89,Global Widgets,2024-01-14
SKU-00294,Compact Whatsit,98,27.19,Supply Chain Co,2024-01-15
SKU-00295,Compact Gizmo,115,28.49,Acme Corp,2024-01-16
SKU-00296,Compact Component,132,29.79,TechSupply Inc,2024-01-17
SKU-00297,Compact Part,149,31.09,Parts R Us,2024-01-18
SKU-00298,Compact Module,166,32.39,Global Widgets,2024-01-19
SKU-00299,Compact Assembly,183,33.69,Supply Chain Co,2024-01-20
SKU-00300,Premium Widget,200,4.99,Acme Corp,2024-01-21
SKU-00301,Premium Gadget,217,6.29,TechSupply Inc,2024-01-22
SKU-00302,Premium Doohickey,234,7.59,Parts R Us,2024-01-23
SKU-00303,Premium Thingamajig,251,8.89,Global Widgets,2024-01-24
SKU-00304,Premium Whatsit,268,10.19,Supply Chain Co,2024-01-25
SKU-00305,Premium Gizmo,285,11.49,Acme Corp,2024-01-26
SKU-00306,Premium Component,302,12.79,TechSupply Inc,2024-01-27
SKU-00307,Premium Part,319,14.09,Parts R Us,2024-01-28
SKU-00308,Premium Module,336,15.39,Global Widgets,2024-01-01
SKU-00309,Premium Assembly,353,16.69,Supply Chain Co,2024-01-02
SKU-00310,Standard Widget,370,17.99,Acme Corp,2024-01-03
SKU-00311,Standard Gadget,387,19.29,TechSupply Inc,2024-01-04
SKU-00312,Standard Doohickey,404,20.59,Parts R Us,2024-01-05
SKU-00313,Standard Thingamajig,421,21.89,Global Widgets,2024-01-06
SKU-00314,Standard Whatsit,438,23.19,Supply Chain Co,2024-01-07
SKU-00315,Standard Gizmo,455,24.49,Acme Corp,2024-01-08
SKU-00316,Standard Component,472,25.79,TechSupply Inc,2024-01-09
SKU-00317,Standard Part,489,27.09,Parts R Us,2024-01-10
SKU-00318,Standard Module,56,28.39,Global Widgets,2024-01-11
SKU-00319,Standard Assembly,73,29.69,Supply Chain Co,2024-01-12
SKU-00320,Deluxe Widget,90,30.99,Acme Corp,2024-01-13
SKU-00321,Deluxe Gadget,107,32.29,TechSupply Inc,2024-01-14
SKU-00322,Deluxe Doohickey,124,33.59,Parts R Us,2024-01-15
SKU-00323,Deluxe Thingamajig,141,34.89,Global Widgets,2024-01-16
SKU-00324,Deluxe Whatsit,158,6.19,Supply Chain Co,2024-01-17
SKU-00325,Deluxe Gizmo,175,7.49,Acme Corp,2024-01-18
SKU-00326,Deluxe Component,192,8.79,TechSupply Inc,2024-01-19
SKU-00327,Deluxe Part,209,10.09,Parts R Us,2024-01-20
SKU-00328,Deluxe Module,226,11.39,Global Widgets,2024-01-21
SKU-00329,Deluxe Assembly,243,12.69,Supply Chain Co,2024-01-22
SKU-00330,Basic Widget,260,13.99,Acme Corp,2024-01-23
SKU-00331,Basic Gadget,277,15.29,TechSupply Inc,2024-01-24
SKU-00332,Basic Doohickey,294,16.59,Parts R Us,2024-01-25
SKU-00333,Basic Thingamajig,311,17.89,Global Widgets,2024-01-26
SKU-00334,Basic Whatsit,328,19.19,Supply Chain Co,2024-01-27
SKU-00335,Basic Gizmo,345,20.49,Acme Corp,2024-01-28
SKU-00336,Basic Component,362,21.79,TechSupply Inc,2024-01-01
SKU-00337,Basic Part,379,23.09,Parts R Us,2024-01-02
SKU-00338,Basic Module,396,24.39,Global Widgets,2024-01-03
SKU-00339,Basic Assembly,413,25.69,Supply Chain Co,2024-01-04
SKU-00340,Pro Widget,430,26.99,Acme Corp,2024-01-05
SKU-00341,Pro Gadget,447,28.29,TechSupply Inc,2024-01-06
SKU-00342,Pro Doohickey,464,29.59,Parts R Us,2024-01-07
SKU-00343,Pro Thingamajig,481,30.89,Global Widgets,2024-01-08
SKU-00344,Pro Whatsit,498,32.19,Supply Chain Co,2024-01-09
SKU-00345,Pro Gizmo,65,33.49,Acme Corp,2024-01-10
SKU-00346,Pro Component,82,34.79,TechSupply Inc,2024-01-11
SKU-00347,Pro Part,99,6.09,Parts R Us,2024-01-12
SKU-00348,Pro Module,116,7.39,Global Widgets,2024-01-13
SKU-00349,Pro Assembly,133,8.69,Supply Chain Co,2024-01-14
SKU-00350,Ultra Widget,150,9.99,Acme Corp,2024-01-15
SKU-00351,Ultra Gadget,167,11.29,TechSupply Inc,2024-01-16
SKU-00352,Ultra Doohickey,184,12.59,Parts R Us,2024-01-17
SKU-00353,Ultra Thingamajig,201,13.89,Global Widgets,2024-01-18
SKU-00354,Ultra Whatsit,218,15.19,Supply Chain Co,2024-01-19
SKU-00355,Ultra Gizmo,235,16.49,Acme Corp,2024-01-20
SKU-00356,Ultra Component,252,17.79,TechSupply Inc,2024-01-21
SKU-00357,Ultra Part,269,19.09,Parts R Us,2024-01-22
SKU-00358,Ultra Module,286,20.39,Global Widgets,2024-01-23
SKU-00359,Ultra Assembly,303,21.69,Supply Chain Co,2024-01-24
SKU-00360,Mini Widget,320,22.99,Acme Corp,2024-01-25
SKU-00361,Mini Gadget,337,24.29,TechSupply Inc,2024-01-26
SKU-00362,Mini Doohickey,354,25.59,Parts R Us,2024-01-27
SKU-00363,Mini Thingamajig,371,26.89,Global Widgets,2024-01-28
SKU-00364,Mini Whatsit,388,28.19,Supply Chain Co,2024-01-01
SKU-00365,Mini Gizmo,405,29.49,Acme Corp,2024-01-02
SKU-00366,Mini Component,422,30.79,TechSupply Inc,2024-01-03
SKU-00367,Mini Part,439,32.09,Parts R Us,2024-01-04
SKU-00368,Mini Module,456,33.39,Global Widgets,2024-01-05
SKU-00369,Mini Assembly,473,34.69,Supply Chain Co,2024-01-06
SKU-00370,Mega Widget,490,5.99,Acme Corp,2024-01-07
SKU-00371,Mega Gadget,57,7.29,TechSupply Inc,2024-01-08
SKU-00372,Mega Doohickey,74,8.59,Parts R Us,2024-01-09
SKU-00373,Mega Thingamajig,91,9.89,Global Widgets,2024-01-10
SKU-00374,Mega Whatsit,108,11.19,Supply Chain Co,2024-01-11
SKU-00375,Mega Gizmo,125,12.49,Acme Corp,2024-01-12
SKU-00376,Mega Component,142,13.79,TechSupply Inc,2024-01-13
SKU-00377,Mega Part,159,15.09,Parts R Us,2024-01-14
SKU-00378,Mega Module,176,16.39,Global Widgets,2024-01-15
SKU-00379,Mega Assembly,193,17.69,Supply Chain Co,2024-01-16
SKU-00380,Super Widget,210,18.99,Acme Corp,2024-01-17
SKU-00381,Super Gadget,227,20.29,TechSupply Inc,2024-01-18
SKU-00382,Super Doohickey,244,21.59,Parts R Us,2024-01-19
SKU-00383,Super Thingamajig,261,22.89,Global Widgets,2024-01-20
SKU-00384,Super Whatsit,278,24.19,Supply Chain Co,2024-01-21
SKU-00385,Super Gizmo,295,25.49,Acme Corp,2024-01-22
SKU-00386,Super Component,312,26.79,TechSupply Inc,2024-01-23
SKU-00387,Super Part,329,28.09,Parts R Us,2024-01-24
SKU-00388,Super Module,346,29.39,Global Widgets,2024-01-25
SKU-00389,Super Assembly,363,30.69,Supply Chain Co,2024-01-26
